nohup: 忽略输入
mode: train
batch: 512
city_t: 40
steps: 13000
embed: 128
hidden: 128
clip_logits: 10
softmax_T: 1.0
optim: Adam
init_min: -0.08
init_max: 0.08
n_glimpse: 1
n_process: 3
decode_type: sampling
lr: 0.001
is_lr_decay: True
lr_decay: 0.96
lr_decay_step: 5000.0
act_model_path: Pt/train20_1113_12_12_step14999_act.pt
seed: 1
alpha: 0.99
islogger: True
issaver: True
log_step: 10
log_dir: ./Csv/
model_dir: ./Pt/
pkl_dir: ./Pkl/
cuda_dv: 0
dump_date: 0522_11_07
task: train40
pkl_path: ./Pkl/train40.pkl
n_samples: 6656000

generate ./Csv/0522_11_19_train40_param.csv
step:1190/13000, actic loss:-35.213, critic loss:9.698, L:14.173, 0min2sec
step:1200/13000, actic loss:-34.917, critic loss:9.639, L:14.171, 0min2sec
step:1210/13000, actic loss:-34.638, critic loss:9.581, L:14.172, 0min2sec
cnt: 1/20
step:1220/13000, actic loss:-34.365, critic loss:9.523, L:14.173, 0min2sec
cnt: 2/20
step:1230/13000, actic loss:-34.052, critic loss:9.468, L:14.171, 0min2sec
step:1240/13000, actic loss:-33.777, critic loss:9.414, L:14.168, 0min2sec
step:1250/13000, actic loss:-33.505, critic loss:9.359, L:14.166, 0min2sec
step:1260/13000, actic loss:-33.272, critic loss:9.308, L:14.165, 0min2sec
step:1270/13000, actic loss:-33.023, critic loss:9.253, L:14.163, 0min2sec
step:1280/13000, actic loss:-32.771, critic loss:9.204, L:14.161, 0min2sec
step:1290/13000, actic loss:-32.506, critic loss:9.155, L:14.158, 0min2sec
step:1300/13000, actic loss:-32.251, critic loss:9.103, L:14.156, 0min2sec
step:1310/13000, actic loss:-32.024, critic loss:9.051, L:14.155, 0min2sec
step:1320/13000, actic loss:-31.778, critic loss:9.004, L:14.153, 0min2sec
step:1330/13000, actic loss:-31.548, critic loss:8.957, L:14.151, 0min2sec
step:1340/13000, actic loss:-31.343, critic loss:8.912, L:14.149, 0min2sec
step:1350/13000, actic loss:-31.088, critic loss:8.865, L:14.147, 0min2sec
step:1360/13000, actic loss:-30.869, critic loss:8.817, L:14.144, 0min2sec
step:1370/13000, actic loss:-30.667, critic loss:8.772, L:14.143, 0min2sec
step:1380/13000, actic loss:-30.462, critic loss:8.727, L:14.141, 0min2sec
step:1390/13000, actic loss:-30.235, critic loss:8.683, L:14.139, 0min2sec
step:1400/13000, actic loss:-30.021, critic loss:8.637, L:14.136, 0min2sec
step:1410/13000, actic loss:-29.796, critic loss:8.592, L:14.134, 0min2sec
step:1420/13000, actic loss:-29.596, critic loss:8.552, L:14.132, 0min2sec
step:1430/13000, actic loss:-29.387, critic loss:8.510, L:14.131, 0min2sec
step:1440/13000, actic loss:-29.198, critic loss:8.469, L:14.129, 0min2sec
step:1450/13000, actic loss:-28.994, critic loss:8.425, L:14.127, 0min2sec
step:1460/13000, actic loss:-28.794, critic loss:8.383, L:14.125, 0min2sec
step:1470/13000, actic loss:-28.607, critic loss:8.340, L:14.123, 0min2sec
step:1480/13000, actic loss:-28.408, critic loss:8.299, L:14.121, 0min2sec
step:1490/13000, actic loss:-28.233, critic loss:8.258, L:14.119, 0min2sec
step:1500/13000, actic loss:-28.036, critic loss:8.217, L:14.116, 0min2sec
step:1510/13000, actic loss:-27.851, critic loss:8.178, L:14.115, 0min2sec
step:1520/13000, actic loss:-27.661, critic loss:8.140, L:14.113, 0min2sec
step:1530/13000, actic loss:-27.500, critic loss:8.105, L:14.113, 0min2sec
step:1540/13000, actic loss:-27.336, critic loss:8.069, L:14.111, 0min2sec
step:1550/13000, actic loss:-27.150, critic loss:8.031, L:14.109, 0min2sec
step:1560/13000, actic loss:-26.976, critic loss:7.998, L:14.108, 0min2sec
step:1570/13000, actic loss:-26.805, critic loss:7.960, L:14.106, 0min2sec
step:1580/13000, actic loss:-26.622, critic loss:7.923, L:14.104, 0min2sec
step:1590/13000, actic loss:-26.471, critic loss:7.888, L:14.102, 0min2sec
step:1600/13000, actic loss:-26.327, critic loss:7.854, L:14.099, 0min2sec
step:1610/13000, actic loss:-26.174, critic loss:7.819, L:14.098, 0min2sec
step:1620/13000, actic loss:-26.004, critic loss:7.785, L:14.097, 0min2sec
step:1630/13000, actic loss:-25.837, critic loss:7.751, L:14.095, 0min2sec
step:1640/13000, actic loss:-25.674, critic loss:7.717, L:14.092, 0min2sec
step:1650/13000, actic loss:-25.507, critic loss:7.684, L:14.090, 0min2sec
step:1660/13000, actic loss:-25.343, critic loss:7.651, L:14.088, 0min2sec
step:1670/13000, actic loss:-25.191, critic loss:7.617, L:14.086, 0min2sec
step:1680/13000, actic loss:-25.047, critic loss:7.584, L:14.083, 0min2sec
step:1690/13000, actic loss:-24.879, critic loss:7.551, L:14.078, 0min2sec
step:1700/13000, actic loss:-24.738, critic loss:7.515, L:14.068, 0min2sec
step:1710/13000, actic loss:-24.571, critic loss:7.479, L:14.051, 0min2sec
step:1720/13000, actic loss:-24.418, critic loss:7.444, L:14.029, 0min2sec
step:1730/13000, actic loss:-24.282, critic loss:7.407, L:14.002, 0min2sec
step:1740/13000, actic loss:-24.149, critic loss:7.368, L:13.971, 0min1sec
step:1750/13000, actic loss:-24.006, critic loss:7.330, L:13.937, 0min2sec
step:1760/13000, actic loss:-23.896, critic loss:7.293, L:13.902, 0min2sec
step:1770/13000, actic loss:-23.777, critic loss:7.257, L:13.869, 0min2sec
step:1780/13000, actic loss:-23.636, critic loss:7.224, L:13.836, 0min2sec
step:1790/13000, actic loss:-23.502, critic loss:7.187, L:13.802, 0min2sec
step:1800/13000, actic loss:-23.377, critic loss:7.149, L:13.767, 0min2sec
step:1810/13000, actic loss:-23.238, critic loss:7.114, L:13.731, 0min2sec
step:1820/13000, actic loss:-23.121, critic loss:7.079, L:13.695, 0min2sec
step:1830/13000, actic loss:-22.988, critic loss:7.042, L:13.658, 0min2sec
step:1840/13000, actic loss:-22.870, critic loss:7.006, L:13.622, 0min2sec
step:1850/13000, actic loss:-22.747, critic loss:6.971, L:13.586, 0min2sec
step:1860/13000, actic loss:-22.629, critic loss:6.936, L:13.549, 0min2sec
step:1870/13000, actic loss:-22.506, critic loss:6.901, L:13.513, 0min2sec
step:1880/13000, actic loss:-22.390, critic loss:6.866, L:13.477, 0min2sec
step:1890/13000, actic loss:-22.273, critic loss:6.831, L:13.441, 0min2sec
step:1900/13000, actic loss:-22.158, critic loss:6.797, L:13.405, 0min2sec
step:1910/13000, actic loss:-22.048, critic loss:6.763, L:13.369, 0min2sec
step:1920/13000, actic loss:-21.934, critic loss:6.730, L:13.333, 0min2sec
step:1930/13000, actic loss:-21.819, critic loss:6.697, L:13.297, 0min2sec
step:1940/13000, actic loss:-21.704, critic loss:6.664, L:13.262, 0min2sec
step:1950/13000, actic loss:-21.597, critic loss:6.631, L:13.227, 0min2sec
